Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Barra Bonita (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;7;7;-;...;643726;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;18;-;-;-;-;-;-;-;1557;240;-;-;-;-;-;-;-
Barra do Chapéu (SP);-;22;-;...;-;-;4;-;10;-;-;-;60;20;-;...;-;-;-;-;...;125;...;-;-;7;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;8;-;-;-;-;-;-;586;-;-;-;100;-;3200;-;-;-;-;-;-;-;-;-;36;26000;-;-;-;-;-
Barra do Turvo (SP);12;13;-;...;-;-;-;-;34;-;-;180;10;-;-;...;-;1;1;-;...;138;...;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;270;-;29;-;14;-;160;-;209;-;-;-;-;-;-;-;12;-;-;-;-;-;-
Barretos (SP);42;63;-;...;-;-;-;9255;-;-;-;333;-;-;10686;...;-;-;-;-;...;6588109;...;-;-;-;-;-;-;335;-;-;-;-;-;-;-;-;-;-;-;162133;644;-;-;-;42;-;1262;29;-;-;-;-;21856;-;31;-;-;-;-;-;15080;219;343;-;-;-;-;-;-
Barrinha (SP);-;-;-;...;-;-;-;1500;-;-;-;-;-;-;-;...;-;-;-;-;...;892500;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;-;-;208;-;-;-;-;-;-;-;-
Barueri (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bastos (SP);3750;-;-;...;-;-;-;-;-;-;-;-;-;-;78;...;-;-;-;-;...;105000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;470;-;-;-;-;-;-;1500;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Batatais (SP);-;-;-;...;-;-;-;-;26;-;-;-;-;-;-;...;-;4860;4860;-;...;3842000;...;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;1530;-;-;-;-;-;-;-;-;-;-;-;-;10500;-;-;-;-;-;-;-;12540;-;-;-;-;-;-;-;-
Bauru (SP);3621;-;-;...;-;-;-;2162;-;-;-;-;-;-;17;...;-;5;5;-;...;112000;...;202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73411;-;-;-;-;-;-;300;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;90;120;-;-;-;-;40
Bebedouro (SP);102;182;-;...;-;-;-;3750;-;-;-;420;-;-;378;...;-;1;1;-;...;2709700;...;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;631;-;-;240707;2389;-;-;-;-;-;320;256;-;-;-;-;2880;-;8;-;-;-;-;-;6600;63;122;-;-;-;-;-;1
Bento de Abreu (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;145;...;-;-;-;-;...;1162500;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1488;-;-;-;-;-;-;-;2330;763;-;-;-;-;-;-;-
Bernardino de Campos (SP);1163;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;315;315;-;...;399500;...;-;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11634;-;336;-;-;-;-;-;14130;336;-;-;743;-;-;-;-
Bertioga (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bilac (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;234;...;-;167;167;-;...;375000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;-;-;-;-;-;2139;605;-;-;-;-;-;-;-
Birigui (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;533;...;-;78;78;-;...;614460;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16200;-;-;-;-;-;-;-;32335;9000;-;-;-;-;-;-;-
Biritiba Mirim (SP);-;-;-;...;-;-;-;-;-;-;-;-;180;-;-;...;-;-;-;-;...;-;...;1152;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160;-;-;-;-;-
Boa Esperança do Sul (SP);-;-;-;...;-;-;-;2400;-;-;-;84;-;-;-;...;-;9;9;-;...;2450000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;162500;720;-;-;-;-;-;4200;-;-;-;-;-;1680;-;-;-;-;-;-;-;3600;-;-;20;-;-;-;-;-
Bocaina (SP);-;-;-;...;-;-;-;1111;-;-;-;-;-;-;-;...;-;72;72;-;...;1184000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9750;296;-;-;-;-;-;-;-;-;-;-;-;1890;-;-;-;-;-;-;-;699;33;1330;-;-;-;-;-;-
Bofete (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;47;47;-;...;8711;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27744;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boituva (SP);-;-;-;...;-;-;-;-;-;-;-;320;-;-;-;...;-;55;55;-;...;580000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2250;-;-;-;-;-;-;-;2625;90;-;240;-;-;-;-;44
Bom Jesus dos Perdões (SP);-;-;-;...;-;-;-;-;-;-;-;189;11;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;165;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bom Sucesso de Itararé (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;17;-;30;-;-;-;-;-;-;9;-;39;-;-;-;-;-;-;35;48;-;-;-;-;-;72;-;-;-;26;-;930;-;-;-;10;-;-;-;-;-;12;700;-;-;-;-;120
Borá (SP);-;-;-;...;-;-;-;2316;-;-;-;-;-;-;-;...;-;-;-;-;...;327535;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2548;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boracéia (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;68;68;-;...;540200;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;270;-;-;-;-;-;-;-;1915;180;-;-;-;-;-;-;-
Borborema (SP);-;-;-;...;-;-;-;10200;-;-;-;3300;900;-;450;...;-;54;54;-;...;2112500;...;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;648;-;-;34500;2720;-;-;-;-;-;660;800;-;-;9600;-;2250;-;-;-;-;-;-;-;1350;900;18;-;-;-;-;-;-
Borebi (SP);-;-;-;...;-;-;-;-;-;-;-;-;30;-;-;...;-;-;-;-;...;255538;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58630;-;-;-;-;-;-;200;-;-;-;-;-;432;-;-;-;-;-;-;-;1502;-;-;-;-;-;-;-;-
Botucatu (SP);-;-;-;...;-;-;-;-;-;-;-;810;42;-;-;...;-;980;980;-;...;1260000;...;-;-;40;-;-;-;-;-;-;-;-;702;-;-;-;-;-;-;326400;-;-;-;-;-;-;1261;-;48;-;120;-;8340;-;-;-;-;-;-;-;1789;-;-;2100;630;540;-;-;-
Bragança Paulista (SP);180;-;-;...;-;-;-;-;-;33;-;630;-;1460;-;...;-;885;885;-;...;360;...;682;-;-;-;-;-;-;-;-;-;-;92;252;-;-;110;-;-;5850;25;-;-;-;-;-;192;75;66;-;-;-;24000;-;-;-;360;-;-;-;2000;-;4270;1250;684;190;-;-;203
Braúna (SP);-;-;-;...;-;-;-;3600;-;-;-;540;15360;-;53;...;-;45;45;-;...;322840;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2549;-;-;-;-;-;780;-;-;-;-;-;-;-;3465;510;-;-;-;-;-;-;-
Brejo Alegre (SP);-;-;-;...;-;-;-;-;-;-;-;40;-;-;276;...;-;-;-;-;...;248000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180;18;-;-;-;-;912;-;-;-;-;-;-;-;11160;16800;-;312;-;-;-;-;-
Brodowski (SP);2800;-;-;...;-;-;-;-;-;-;-;143;-;-;-;...;-;1995;1995;-;...;1079550;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;941;30;-;-;-;-;-;-;-;-;-;-;-;2160;-;-;-;-;-;-;-;1260;-;-;-;-;-;-;-;-
Brotas (SP);184;-;-;...;-;-;-;2559;-;-;-;3500;-;-;-;...;-;470;470;-;...;2205200;...;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;270;-;-;193256;112;-;-;-;-;-;200;-;-;-;-;-;7779;-;-;-;6;-;-;-;12150;-;3927;-;-;-;-;-;-
Buri (SP);31;-;-;...;-;-;-;-;-;-;-;-;370;10300;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;8601;-;-;-;-;-;-;288000;-;-;-;-;-;-;-;-;12;-;720;-;84158;-;-;-;-;-;-;-;87390;2125;1220;5250;17440;-;-;-;181
Buritama (SP);-;-;-;...;-;-;-;125;-;-;-;-;-;-;6000;...;-;-;-;-;...;720000;...;-;-;-;-;-;-;-;-;-;-;-;288;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2082;-;-;-;-;-;-;-;1620;540;-;800;-;-;-;-;-
Buritizal (SP);-;-;-;...;-;-;-;827;-;-;-;-;-;-;-;...;-;651;651;-;...;812000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;1020;-;-;-;-;-;-;-;4640;480;-;500;-;-;-;-;-
Cabrália Paulista (SP);171;18;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;115;115;-;...;17968;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3758;-;-;14356;4607;-;-;-;-;-;3191;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;330;55;-;-;-;-;-
Cabreúva (SP);-;-;-;...;-;-;-;-;-;-;18;-;-;-;-;...;-;14;14;-;...;390;...;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;2113;-;-;-;-;-;80;-;-;-;-;-;450;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
Caçapava (SP);-;-;-;...;-;-;-;-;3900;-;-;-;-;2000;-;...;-;-;-;-;...;240000;...;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cachoeira Paulista (SP);-;-;-;...;-;-;-;-;450;-;-;85;-;-;-;...;-;-;-;-;...;6000;...;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;250;1200;-;-;-;-;14
Caconde (SP);60;-;-;...;-;-;-;-;-;-;-;8;-;1100;-;...;-;17472;17472;-;...;16178;...;-;-;60;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;54;-;-;-;-;-;119;-;-;-;-;-;3125;-;-;-;-;-;-;-;360;-;-;-;-;-;-;-;55
Cafelândia (SP);845;-;-;...;-;-;-;6097;-;-;-;-;-;-;841;...;-;97;97;-;...;2208780;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58124;2551;-;-;-;-;-;275;1500;-;-;2160;-;497;-;-;-;-;-;-;-;2636;-;-;4910;-;-;-;-;-
Caiabu (SP);-;-;-;...;-;-;-;-;-;-;-;-;1780;-;28;...;-;-;-;-;...;450000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;2110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caieiras (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;2;2;-;...;2;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caiuá (SP);-;160;-;...;-;-;-;-;-;-;-;375;-;-;189;...;-;-;-;-;...;180544;...;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;192;-;-;50;16;-;-;-;500;-;12000;220;52;-;-;-;669;-;-;-;-;-;-;-;500;-;20;127;-;-;-;38;-
Cajamar (SP);-;-;-;...;-;-;-;-;-;-;-;4;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cajati (SP);-;-;-;...;-;-;-;-;-;-;-;126000;-;-;-;...;-;-;-;-;...;60;...;16;-;-;-;-;-;4;-;-;-;-;3;-;-;-;60;-;-;-;-;-;-;-;-;-;416;-;168;-;-;-;63;-;3300;-;-;-;-;-;-;-;464;-;-;-;-;-;-
Cajobi (SP);-;-;-;...;-;-;-;510;-;-;-;-;390;-;462;...;-;-;-;-;...;549780;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54086;306;-;-;-;-;-;-;-;-;-;-;-;288;-;156;-;-;-;-;-;150;-;-;-;-;-;-;-;-
Cajuru (SP);2850;-;-;...;-;-;-;600;-;-;-;100;-;-;-;...;-;3360;3360;-;...;1545600;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4600;-;-;-;-;-;-;750;-;-;-;-;-;4720;-;-;-;-;-;-;-;1344;-;-;-;-;-;-;-;-
Campina do Monte Alegre (SP);-;-;-;...;-;-;-;-;-;-;-;13;-;2520;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1009;-;-;-;-;-;-;4617;-;-;-;-;-;-;120;-;29;-;450;-;39933;-;-;-;-;-;-;-;16800;1200;-;33;840;-;-;-;-
Campinas (SP);1210;-;-;...;-;-;-;-;-;-;-;1872;11;-;-;...;-;780;780;-;...;119340;...;1240;-;-;-;-;-;-;-;-;-;-;20;2500;-;-;4728;-;-;510;-;-;-;-;-;-;1650;272;-;-;-;-;1200;-;-;-;122;-;-;-;1920;-;-;-;-;-;-;-;240
Campo Limpo Paulista (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Campos do Jordão (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campos Novos Paulista (SP);-;-;-;...;-;-;-;4000;-;375;-;-;-;-;-;...;-;74;74;-;...;525000;...;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;13333;-;-;-;-;-;-;90000;-;-;-;-;-;37968;-;-;-;-;-;-;-;44160;3450;-;50;-;-;-;-;-
Cananéia (SP);-;7;-;...;-;-;-;-;12;-;-;3930;5;-;-;...;-;-;-;-;...;50;...;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;10;-;-;-;-;-;2830;-;-;-;3;-;11;-;664;-;-;-;-;-;-;-;20;-;-;-;-;-;-
Canas (SP);-;-;-;...;-;-;-;-;2400;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cândido Mota (SP);-;-;-;...;-;-;-;-;-;934;-;300;-;-;-;...;-;18;18;-;...;1680000;...;-;-;-;-;-;-;-;-;-;-;-;1020;-;-;-;-;-;-;-;-;-;-;-;-;-;6513;-;-;-;-;-;1608;-;-;-;-;-;-;-;98894;-;-;138;180;-;-;-;-
Cândido Rodrigues (SP);2184;-;-;...;-;-;-;600;-;-;-;-;1600;-;-;...;-;-;-;-;...;166800;...;-;-;1344;-;-;-;-;-;-;-;-;-;-;-;-;966;-;-;1300;35904;-;-;-;-;-;1104;6960;50;-;-;-;720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Canitar (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;182866;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2833;-;-;-;-;-;-;-;5600;-;-;-;-;-;-;-;-
Capão Bonito (SP);200;-;-;...;-;-;-;-;-;-;-;200;1600;-;-;...;-;-;-;-;...;-;...;2220;-;2800;-;-;-;-;-;-;-;-;15600;-;-;-;-;-;-;136500;-;-;1975;-;-;-;375;-;960;-;900;-;137334;-;-;-;1500;-;-;-;105600;1080;300;8833;17700;-;-;-;600
Capela do Alto (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;45000;...;-;-;-;-;-;-;-;-;-;-;-;480;-;-;-;-;-;-;60000;-;-;-;-;-;-;3750;-;-;-;4000;-;5900;-;-;-;-;-;-;-;2940;450;595;60;800;-;-;-;55
Capivari (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1355000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;-;-;-;-;-;270;-;-;-;-;-;-;-;-
Caraguatatuba (SP);-;-;-;...;-;-;-;-;-;-;-;840;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Carapicuíba (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Cardoso (SP);-;-;-;...;-;2898;-;-;-;-;-;1080;-;-;4065;...;-;-;-;-;...;1004368;...;-;-;-;-;-;-;-;-;-;-;-;296;-;-;-;-;-;-;20714;-;-;-;-;-;-;-;-;-;-;-;-;787;-;-;-;-;-;-;-;10169;784;-;21200;-;-;-;-;-
Casa Branca (SP);7742;-;-;...;-;-;-;-;-;-;-;82;240;183260;1004;...;-;161;161;-;...;1711684;...;-;-;17500;-;-;-;-;-;-;-;-;5900;-;-;-;-;-;-;770000;2246;-;-;-;-;-;10190;1968;-;-;-;-;90500;-;-;-;-;-;-;-;44291;5250;26163;-;900;-;-;-;-
Cássia dos Coqueiros (SP);320;-;-;...;-;-;-;60;14;-;-;270;-;-;-;...;-;4620;4620;-;...;108000;...;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;2000;-;-;-;-;-;-;-;-;-;-;-;-;1440;-;35;-;-;-;-;-;945;-;-;-;-;-;-;-;-
Castilho (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;218;...;-;-;-;-;...;2874401;...;-;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;1300;-;-;-;-;-;1947;-;-;-;-;-;-;-;4648;-;-;-;-;-;-;300;-
Catanduva (SP);-;-;-;...;-;-;-;852;-;-;-;-;-;-;225;...;-;-;-;-;...;1002495;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;750;-;-;5426;23500;-;-;-;-;-;507;-;-;-;-;-;25;-;-;-;-;-;-;-;396;-;-;-;-;-;-;-;-
Catiguá (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;458;...;-;-;-;-;...;595000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;330;-;-;-;-;-;352;-;-;-;-;-;500;-;-;-;-;-;-;-;630;-;-;-;-;-;-;-;-
Cedral (SP);79;-;-;...;-;-;-;-;-;-;-;24;-;-;1670;...;-;36;36;-;...;512000;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3455;1876;-;-;-;30;-;212;83;20;-;-;-;1135;-;-;-;-;-;-;-;900;-;779;-;-;-;-;-;-
Cerqueira César (SP);987;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;300;300;-;...;620000;...;-;-;-;-;-;-;-;-;-;-;-;2205;-;-;-;-;-;-;88000;-;-;-;-;-;-;-;-;-;-;-;-;34685;-;-;-;-;-;-;-;51360;3924;-;-;5160;171;-;-;-
Cerquilho (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;477180;...;-;-;-;-;-;-;-;-;-;-;-;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1446;-;-;-;-;-;-;-;1120;-;-;-;150;-;-;-;-
Cesário Lange (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1188000;...;-;-;-;-;-;-;-;-;-;-;-;369;-;-;22;-;-;-;8026;-;-;-;-;-;-;-;-;-;-;-;-;9360;-;-;-;-;-;-;-;8820;-;-;600;300;-;-;-;-
Charqueada (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;570000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;610;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Clementina (SP);110;-;-;...;-;-;-;-;-;-;-;2850;4500;-;30;...;-;30;30;-;...;353360;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1581;66;-;-;-;-;600;-;-;-;-;-;-;-;360;-;-;420;-;-;-;-;-
Colina (SP);-;-;-;...;-;-;-;1856;-;-;-;2100;-;-;4495;...;-;-;-;-;...;1973176;...;-;-;-;-;-;-;-;-;-;-;-;135;-;-;-;-;-;-;22784;351;-;-;-;-;-;-;-;-;-;-;-;4064;-;-;-;-;-;-;-;3380;-;-;4500;-;-;-;-;-
Colômbia (SP);-;1200;-;...;-;-;-;10500;-;-;-;220;-;-;2547;...;-;5;5;-;...;2770560;...;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;305114;27;-;-;-;-;-;218;8;-;-;-;-;3024;-;350;-;-;-;-;-;3900;-;-;-;-;-;-;-;-
Conchal (SP);154;-;-;...;-;-;-;-;-;-;-;112;-;-;-;...;-;-;-;-;...;210000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;100136;259;-;-;-;-;-;7500;44;160;-;-;-;6750;-;17;-;-;-;-;-;13650;1800;4896;-;-;-;-;-;3
Conchas (SP);-;-;-;...;-;-;-;-;-;-;-;86;-;-;-;...;-;-;-;-;...;217000;...;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;13000;-;-;-;-;-;-;95;-;-;-;-;-;1620;-;-;-;-;-;-;-;735;-;-;-;-;-;-;-;-
Cordeirópolis (SP);2884;-;-;...;-;-;-;-;-;-;-;555;-;-;-;...;-;10;-;10;...;927000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;320;-;-;-;-;-;-;90;-;-;-;-;-;4080;-;-;-;-;-;-;-;961;-;-;219;-;-;-;-;-
Coroados (SP);-;-;-;...;-;-;-;-;-;-;-;116;1584;-;682;...;-;35;35;-;...;651000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;6682;-;-;-;-;-;-;-;6418;1373;-;-;-;-;-;-;-
Coronel Macedo (SP);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;600;600;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4320;-;-;-;-;-;-;7366;-;-;-;-;-;-;-;-;-;-;-;-;16416;-;-;-;-;-;-;-;37414;10500;-;110;10751;1200;-;-;-
Corumbataí (SP);18;-;-;...;-;-;6;-;360;-;-;-;-;-;-;...;-;19;19;-;...;216000;...;-;-;-;-;-;-;-;-;-;-;-;79;-;-;8;-;-;-;3375;50;-;-;-;-;-;2300;-;15;-;20;-;125;-;-;-;-;-;-;-;1080;320;-;-;-;-;-;-;-
Cosmópolis (SP);104;-;-;...;-;-;-;-;-;-;-;295;-;-;-;...;-;-;-;-;...;486400;...;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;218;-;-;2750;1140;-;-;-;-;-;1032;-;-;-;-;-;2100;-;-;-;-;-;-;-;420;-;-;694;-;-;-;-;-
Cosmorama (SP);92;-;-;...;-;135;-;1125;-;-;-;400;-;-;7756;...;-;30;30;-;...;1190000;...;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;67952;2538;-;-;-;-;-;75;88;-;-;-;-;780;-;-;-;-;-;-;-;720;180;3200;-;-;-;-;-;118
