Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Nazaré (BA);-;81;-;...;-;-;-;393;-;-;-;858;-;-;-;...;170;-;-;-;...;46;...;-;-;-;-;-;-;51;104;-;-;-;-;-;-;-;-;-;-;66;204;-;-;-;-;-;3592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nilo Peçanha (BA);-;-;-;...;-;-;-;-;-;-;-;42095;-;-;1528;...;34844;-;-;-;...;-;...;-;-;-;-;-;-;158;58;-;-;-;9;-;-;-;-;1420;-;-;-;-;-;-;-;-;147;-;-;-;-;-;8;-;310;-;-;35;-;-;-;-;-;-;-;-;-;6;-
Nordestina (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;152;-;-;-;-;-;194;-;-;-;-;-;-;5716;-;-;-;-;-;-;-;-;-
Nova Canaã (BA);13;-;-;...;-;-;-;-;-;-;-;3474;-;-;-;...;1050;5819;5819;-;...;91;...;-;-;-;-;-;-;-;-;-;-;-;566;-;-;-;-;-;-;-;-;-;-;-;-;-;972;-;133;-;-;-;177;-;-;-;-;-;-;-;-;-;-;228;-;-;-;-;-
Nova Fátima (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;141;-;-;-;-;-;-;1491;-;-;-;-;-;-;-;-;-
Nova Ibiá (BA);-;18;-;...;-;-;-;-;-;-;-;8521;-;-;-;...;42924;195;195;-;...;-;...;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;19;23;-;17;-;-;-;-;-;-;321;-;47;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-
Nova Itarana (BA);-;31;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;1631;1631;-;...;-;...;-;4;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;473;-;136;-;21;-;2;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-
Nova Redenção (BA);-;-;-;...;-;-;-;-;-;-;-;150;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;520;282;-;-;-;549;-;-;-;-;-;-;-;-;-;-;-;-;1680;-;-;-;-;-
Nova Soure (BA);-;-;-;...;-;-;-;160;-;-;-;133;-;-;-;...;-;-;-;-;...;-;...;-;565;-;-;-;-;-;-;-;-;-;469;-;-;-;824;-;-;-;-;-;-;-;-;-;123;10;203;-;2850;-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nova Viçosa (BA);-;-;-;...;-;-;-;49;-;-;-;8090;-;-;196;...;183;8509;-;8509;...;10893;...;-;-;-;-;-;-;378;-;-;-;-;103;-;-;-;-;-;-;109;-;-;-;-;7771;-;2585;-;1393;-;-;-;17;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Novo Horizonte (BA);-;-;-;...;-;-;7695;-;-;-;-;4752;-;-;-;...;-;-;-;-;...;187;...;-;-;180;-;-;-;-;-;-;-;-;1489;-;28;-;-;-;-;-;-;-;-;-;-;-;760;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;1128;-;-;-;-;-
Novo Triunfo (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;352;-;-;-;-;-;-;-;-;-;900;-;153;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;51;-;9500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Olindina (BA);-;-;-;...;-;-;-;59;-;-;-;91;-;-;-;...;-;-;-;-;...;-;...;-;373;-;-;-;-;-;-;-;-;-;1150;-;-;-;-;-;-;183;-;-;-;-;-;-;354;-;-;-;59;-;337;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Oliveira dos Brejinhos (BA);-;-;-;...;-;-;-;-;-;-;-;12;-;-;-;...;-;-;-;-;...;192;...;-;-;-;-;-;-;-;-;-;-;-;201;-;-;-;-;-;-;-;-;-;-;-;-;-;490;36;-;-;480;-;1180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ouriçangas (BA);-;-;-;...;-;-;-;13;-;-;-;7;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;215;-;-;-;-;-;-;44;-;-;-;-;-;-;1260;-;-;-;2;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ourolândia (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;836;-;-;-;-;-;-;-;-;-;-;-;-;1728;-;-;-;-;-;-;377;-;-;-;-;-;-;2300;-;-;-;-;-;-;-;-;-
Palmas de Monte Alto (BA);-;-;-;...;-;5040;-;-;-;-;-;187;-;-;-;...;-;-;-;-;...;50;...;-;-;-;-;-;-;350;-;-;-;-;2402;-;-;-;-;-;-;-;-;-;-;-;-;-;584;-;-;-;169;-;197;-;-;-;-;-;-;-;-;382;-;-;-;-;-;-;-
Palmeiras (BA);-;93;-;...;-;-;-;-;-;-;-;1145;-;-;-;...;-;21;21;-;...;99;...;-;-;-;-;-;-;101;-;-;-;-;11;-;18;-;-;-;-;-;4;-;-;-;99;94;276;-;116;-;417;-;8;-;-;-;-;-;-;-;-;-;-;3838;-;-;-;-;-
Paramirim (BA);-;-;-;...;-;-;-;-;-;-;-;181;-;-;-;...;-;-;-;-;...;627;...;-;-;-;-;-;-;54;-;-;-;-;2790;-;-;-;-;-;-;19;-;-;-;-;-;-;535;3427;968;-;66;-;534;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-
Paratinga (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;452;...;-;-;-;-;-;-;-;-;-;-;-;2150;-;-;-;-;-;-;-;-;-;-;-;-;-;319;-;-;-;-;-;84;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-
Paripiranga (BA);-;-;-;...;-;-;-;-;-;-;-;145;-;436;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2000;-;-;-;-;-;-;133;-;-;-;-;-;-;238;16;-;-;-;-;195000;-;-;-;-;-;-;-;-;-;-;1641;-;-;-;-;-
Pau Brasil (BA);-;-;-;...;-;-;-;-;-;-;-;42;-;-;21;...;9240;765;-;765;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;281;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Paulo Afonso (BA);-;60;-;...;-;-;-;-;-;-;-;169;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;135;-;-;-;-;138;-;-;-;39;-;-;-;-;-;-;-;3;-;-;97;47;-;294;20;263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93
Pé de Serra (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;179;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pedrão (BA);-;-;-;...;-;-;-;222;-;-;-;92;-;-;-;...;-;-;-;-;...;-;...;-;11;-;-;-;-;40;-;-;-;-;129;-;-;-;-;-;-;31;-;-;-;-;-;-;349;31;-;-;-;-;286;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pedro Alexandre (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Piatã (BA);-;-;-;...;-;-;-;-;39;-;-;177;-;-;-;...;-;13600;13600;-;...;831;...;-;-;-;-;-;-;-;-;-;-;-;1591;-;-;-;-;-;-;23;-;-;-;-;-;-;482;-;353;-;-;-;288;-;-;-;-;-;-;-;-;-;-;559;-;-;-;-;-
Pilão Arcado (BA);-;-;-;...;-;-;-;-;-;-;-;8;5;-;-;...;-;-;-;-;...;264;...;-;-;-;-;-;-;-;-;-;-;-;3062;-;-;-;-;-;-;-;-;-;-;-;-;-;1164;-;-;-;544;-;255;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pindaí (BA);-;-;-;...;-;538;1245;-;-;-;-;26;-;-;-;...;-;-;-;-;...;89;...;-;-;312;-;-;-;22;-;-;-;-;873;-;-;-;-;-;-;20;-;-;-;-;-;-;139;-;-;-;-;-;65;-;-;-;-;-;-;-;-;950;-;-;-;-;-;-;-
Pindobaçu (BA);-;-;-;...;-;-;-;-;-;-;-;1094;29;-;-;...;-;-;-;-;...;51;...;-;-;-;-;-;-;-;-;-;-;-;382;-;-;-;-;-;-;-;-;-;-;-;-;25;1129;12;60;-;150;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pintadas (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Piraí do Norte (BA);-;-;-;...;-;-;-;-;-;-;-;12910;-;-;640;...;39732;-;-;-;...;-;...;-;-;-;-;-;-;17;-;-;-;-;15;-;-;-;-;154;-;8;-;-;-;-;-;-;47;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Piripá (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;259;...;-;-;-;-;-;-;-;-;-;-;-;370;-;-;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Piritiba (BA);-;-;-;...;-;-;-;-;-;-;-;56;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;535;-;-;-;-;-;-;-;-;-;-;-;-;-;1000;-;78;-;1250;-;269;-;-;-;-;-;-;7;-;-;-;1240;-;-;-;-;-
Planaltino (BA);-;241;-;...;-;-;-;-;-;-;-;26;-;-;-;...;-;393;393;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;83;-;-;-;-;-;-;11;-;-;-;-;-;93;2425;-;1196;-;198;-;189;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-
Planalto (BA);33;-;-;...;-;-;-;-;-;-;-;953;308;-;-;...;-;22225;22225;-;...;92;...;-;-;-;-;-;-;-;-;-;-;-;1888;-;-;-;-;-;-;-;-;-;-;-;-;-;432;-;102;-;14;-;237;-;-;-;-;-;-;-;-;-;88;4598;-;-;-;-;-
Poções (BA);-;-;-;...;-;-;-;-;-;-;-;2370;49;-;-;...;-;6300;6300;-;...;16;...;-;-;-;-;-;-;-;-;-;-;-;589;-;-;-;-;-;-;-;-;-;-;-;-;7;442;-;1391;-;-;-;103;-;-;-;-;-;-;-;-;-;-;4891;-;-;-;-;-
Pojuca (BA);12;-;-;...;-;-;-;-;-;-;-;346;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;16;-;-;-;-;10;-;-;-;-;-;-;27;-;-;-;-;24;-;325;-;69;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ponto Novo (BA);-;-;-;...;-;-;-;-;-;-;-;3900;43;-;-;...;-;-;-;-;...;52;...;-;-;55;-;-;-;-;-;-;-;-;810;-;-;-;1722;-;-;21;-;-;-;-;55;69;664;231;860;-;291;-;170;-;-;-;-;-;-;60;-;-;-;189;-;-;-;-;-
Porto Seguro (BA);-;1198;563;...;-;-;-;-;-;-;-;8539;-;-;6488;...;10454;146150;-;146150;...;202;...;-;-;-;-;-;-;10897;39;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;24328;-;3529;-;445;-;721;-;-;-;11;-;-;54268;-;-;-;-;-;-;-;-;-;282;-
Potiraguá (BA);-;-;-;...;-;-;-;-;-;-;-;55;-;-;-;...;132;-;-;-;...;510;...;-;-;-;-;-;-;12;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Prado (BA);8;1040;-;...;-;-;-;60;-;-;-;4701;188;-;40;...;5878;228669;-;228669;...;43;...;-;-;-;-;-;-;2275;-;-;-;-;286;-;-;-;121;-;-;37;61;-;-;-;47874;-;1363;-;3338;-;798;-;202;-;290;-;-;15280;-;-;-;-;-;-;-;-;-;378;-
Presidente Dutra (BA);-;-;-;...;-;-;-;-;-;-;-;60;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;737;-;-;-;-;-;-;-;-;-;-;-;-;2724;197;-;-;-;-;-;809;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-
Presidente Jânio Quadros (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;10;...;-;-;-;-;-;-;-;-;-;-;-;955;-;-;-;-;-;-;-;-;-;-;-;-;-;431;34;70;-;104;-;43;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
Presidente Tancredo Neves (BA);79;1208;-;...;-;-;-;174;-;-;-;40572;-;-;453;...;55025;166;-;166;...;9;...;-;-;-;-;-;-;29;3;-;-;-;255;-;-;-;-;1600;-;194;57;-;-;-;497;-;4799;-;237;-;-;-;69;-;193;-;-;3240;-;-;-;-;-;-;-;-;-;150;-
Queimadas (BA);-;-;-;...;-;-;-;-;-;-;-;131;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;8;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;53;-;96;-;-;-;-;-;-;378;-;-;-;-;-;-;-;-;-
Quijingue (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;32;-;-;-;-;-;-;-;-;-;3542;-;-;-;-;-;-;-;-;-;-;-;-;-;4100;-;-;-;-;-;3471;-;-;-;-;-;-;480;-;-;-;-;-;-;-;-;-
Quixabeira (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;9;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rafael Jambeiro (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;815;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Remanso (BA);-;-;-;...;-;-;-;-;-;-;-;31;-;-;-;...;-;-;-;-;...;-;...;-;-;129;-;-;-;13;-;-;-;-;1952;-;-;-;-;-;-;-;-;-;-;-;-;-;648;-;-;-;1572;-;463;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-
Retirolândia (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;60;-;-;-;-;-;-;25000;-;-;-;-;-;-;-;-;-
Riachão das Neves (BA);-;-;-;...;-;252416;-;-;-;-;-;38949;-;-;-;...;-;-;-;-;...;467;...;-;-;-;-;-;-;258;-;-;-;-;23586;-;-;-;-;-;-;29;795;-;-;-;4108;106;464;15;1094;-;1197;-;80371;-;-;-;-;-;-;-;1230075;196;-;-;13226;-;-;-;-
Riachão do Jacuípe (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;125;-;-;-;-;-;-;1443;-;-;-;-;-;-;-;-;-
Riacho de Santana (BA);-;-;-;...;-;-;-;-;-;-;-;192;-;-;-;...;-;-;-;-;...;60;...;-;-;-;-;-;-;3;-;-;-;-;1320;-;-;-;-;-;-;94;-;-;-;-;-;396;492;-;27;-;-;-;625;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-
Ribeira do Amparo (BA);-;-;-;...;-;-;-;130;-;-;-;1065;-;-;-;...;-;-;-;-;...;414;...;-;488;-;-;-;-;312;-;-;-;-;3627;-;-;-;-;-;-;-;-;-;-;-;-;-;158;6;252;-;3476;47288;1191;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ribeira do Pombal (BA);-;-;-;...;-;-;-;-;-;-;-;123;-;-;-;...;-;-;-;-;...;-;...;-;2116;-;-;-;-;20;-;-;-;-;1800;-;-;-;-;-;-;-;-;-;-;-;-;-;1171;49;2040;-;2375;-;12950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ribeirão do Largo (BA);-;-;-;...;-;-;-;-;-;-;-;2003;-;-;-;...;183;16520;16520;-;...;290;...;-;-;-;-;-;-;-;-;-;-;-;448;-;-;-;-;-;-;-;-;-;-;-;-;-;1418;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rio de Contas (BA);-;-;-;...;-;-;-;-;-;-;25;968;-;-;-;...;-;2251;2251;-;...;3196;...;-;-;-;-;-;-;6;-;-;-;-;605;-;-;-;-;-;-;1651;-;-;-;-;-;-;74;12637;11266;-;213;-;54;-;-;-;-;-;-;-;-;-;694;-;-;-;-;-;-
Rio do Antônio (BA);-;-;-;...;-;-;-;-;-;-;-;85;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;196;-;-;-;-;-;-;-;-;-;-;-;-;-;171;-;21;-;-;-;29;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
Rio do Pires (BA);-;-;-;...;-;-;-;-;31;-;-;25;-;-;-;...;-;-;-;-;...;252;...;-;-;-;-;-;-;-;-;-;-;-;1244;-;-;-;-;-;-;-;-;-;-;-;-;-;142;6;7;-;-;-;555;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rio Real (BA);-;231;-;...;-;-;-;724;-;-;-;166;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;2162;-;-;-;-;2610;-;-;-;-;-;-;132459;2182;-;-;-;3549;-;3284;-;10838;-;-;-;9659;-;-;-;-;-;-;-;-;-;442;-;-;-;-;-;-
Rodelas (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;1466;-;-;-;41681;-;-;-;-;-;-;-;-;144;-;-;-;-;-;-;-;525;-;-;1148;-;-;506;758;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ruy Barbosa (BA);-;324;-;...;-;-;-;21;-;-;-;10;-;-;-;...;-;60;60;-;...;1;...;-;-;-;-;-;-;-;-;-;-;-;416;-;-;-;-;-;-;9;-;-;-;-;-;-;416;-;-;-;19;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Salinas da Margarida (BA);-;-;-;...;-;-;-;-;-;-;-;7;-;-;-;...;-;-;-;-;...;-;...;-;22;-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Salvador (BA);-;-;-;...;-;-;-;-;-;-;-;33;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Bárbara (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;195;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Brígida (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;54;-;-;-;-;29;-;-;-;-;280;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Cruz Cabrália (BA);-;364;-;...;-;-;-;13;-;-;-;3559;-;-;66;...;3089;43013;-;43013;...;41620;...;-;-;-;-;-;-;3782;-;-;-;-;-;-;-;-;33;-;-;-;601;-;-;-;2408;-;2303;-;221;-;210;-;-;-;-;-;-;1401;-;-;-;-;-;-;-;-;-;45;-
Santa Cruz da Vitória (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;1297;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Inês (BA);-;141;-;...;-;-;-;-;-;-;-;51;-;-;-;...;-;46;46;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;184;-;56;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santaluz (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;30;-;-;-;-;-;-;56550;-;-;-;-;-;-;-;-;-
Santa Luzia (BA);-;389;-;...;-;-;-;-;-;-;-;354;-;-;99;...;17780;11900;-;11900;...;-;...;-;-;-;-;-;-;544;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;289;-;291;-;50;-;-;-;-;-;74;-;-;176;-;-;-;-;-;-;-;-;-;-;-
Santa Maria da Vitória (BA);-;-;-;...;-;-;-;-;9;-;-;568;-;-;-;...;-;-;-;-;...;3100;...;-;-;-;-;-;-;-;-;-;-;-;2343;-;-;-;-;-;-;-;-;-;-;-;22002;-;771;998;66;-;1885;-;3296;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santana (BA);-;-;-;...;-;7543;-;-;-;-;-;972;-;-;-;...;-;-;-;-;...;3072;...;-;-;-;-;-;-;-;-;-;-;-;6898;-;-;-;-;-;-;-;-;-;-;-;-;-;2763;-;64;-;-;-;7090;-;-;-;-;-;-;-;17757;14;-;-;-;-;-;-;-
Santanópolis (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;504;-;15;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santa Rita de Cássia (BA);-;-;-;...;-;-;-;-;26;-;-;59;-;-;-;...;-;-;-;-;...;243;...;-;-;-;-;-;-;-;-;-;-;-;1924;-;71;-;-;-;-;-;-;-;-;-;-;-;621;-;-;-;299;-;1294;-;-;-;-;-;-;-;6250;392;-;-;-;-;-;-;-
Santa Terezinha (BA);-;10;-;...;-;-;-;9;-;-;-;52;17;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;-;-;-;-;-;-;-;-;560;-;-;-;-;-;129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76
Santo Amaro (BA);-;94;-;...;-;-;-;134;-;-;-;4627;-;-;-;...;950;-;-;-;...;64;...;-;11;-;-;-;-;164;31;-;-;-;116;-;-;-;-;-;-;136;-;-;-;-;-;-;2008;-;19;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Antônio de Jesus (BA);9;60;-;...;-;-;-;725;-;-;-;698;65;-;-;...;3123;-;-;-;...;187;...;-;17;-;-;-;-;-;-;-;-;-;171;-;-;-;-;-;-;4939;5;-;-;-;15;-;2411;-;135;-;-;-;12;-;-;-;-;-;-;-;-;-;1438;-;-;-;-;-;-
Santo Estêvão (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2747;-;168;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Desidério (BA);-;-;-;...;-;1667506;-;-;26;-;-;64;-;-;-;...;-;50000;50000;-;...;271;...;-;-;-;-;-;-;-;-;-;-;-;74459;-;-;-;-;-;-;2220;255;-;-;-;-;-;2584;28;181;-;11810;-;345295;-;-;-;-;-;-;-;4207500;30812;6;-;-;-;-;-;-
São Domingos (BA);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9754;-;-;-;-;-;-;-;-;-
São Félix (BA);-;-;-;...;-;-;-;185;-;-;-;238;248;-;-;...;-;-;-;-;...;3;...;-;-;-;-;-;-;4;-;-;-;-;37;-;-;-;-;-;-;44;105;-;-;-;-;-;1090;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Félix do Coribe (BA);-;-;-;...;-;-;-;-;-;-;-;5422;-;-;-;...;-;-;-;-;...;864;...;-;-;-;-;-;-;407;-;-;-;-;4191;-;-;-;-;-;-;237;605;-;-;-;42210;-;498;7078;254;-;1347;-;5132;-;-;-;-;-;-;-;-;-;781;-;-;-;-;-;-
São Felipe (BA);-;108;-;...;-;-;-;933;-;-;-;420;47;-;-;...;78;-;-;-;...;571;...;-;-;-;-;-;-;-;-;-;-;-;32;-;9;-;-;-;-;690;141;-;-;-;-;-;6635;-;5;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Francisco do Conde (BA);-;-;-;...;-;-;-;8;-;-;-;361;-;-;-;...;1760;-;-;-;...;155;...;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;254;15;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
