Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Taparuba (MG);-;-;-;...;-;-;-;-;6;-;-;3;-;-;-;...;-;110;16;94;...;90;...;-;-;-;-;-;-;3;-;-;-;-;25;-;-;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tapira (MG);40;-;-;...;-;-;-;-;-;-;-;-;2;1605;180;...;-;615;615;-;...;-;...;-;-;25;-;-;-;-;-;-;-;-;600;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2000;-;-;-;-;-;-;-;3500;80;-;-;1500;-;-;-;-
Tapiraí (MG);-;1;-;...;-;-;-;-;-;-;-;4;5;7;-;...;-;1513;1513;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;-;3;-;-;-;-;-;-;3;-;-;-;-;-;150;-;-;-;-;-;-;-;500;-;-;-;-;-;-;-;-
Taquaraçu de Minas (MG);-;-;-;...;-;-;-;-;-;-;-;255;-;-;-;...;-;-;-;-;...;27;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;12;-;-;-;-;-;2;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-
Tarumirim (MG);-;-;-;...;-;-;-;7;13;-;-;36;-;-;-;...;-;29;20;9;...;60;...;-;-;-;-;-;-;13;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;200;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Teixeiras (MG);-;-;-;...;-;-;-;-;-;-;-;30;-;-;-;...;-;750;750;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;420;-;-;-;2;-;-;7;2;-;-;-;-;-;3;4;-;-;-;-;500;-;4;-;-;-;-;-;-;-;4;4;-;-;-;-;-
Teófilo Otoni (MG);3;1;-;...;-;-;-;-;-;-;-;150;-;-;-;...;-;25;25;-;...;205;...;-;-;-;-;-;-;1;-;-;-;-;210;-;-;-;27;-;-;85;1;-;-;-;1;-;190;1;4;-;-;-;200;-;3;-;-;4;-;-;-;-;17;4;-;-;-;6;-
Timóteo (MG);-;-;-;...;-;-;-;-;-;-;-;8;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tiradentes (MG);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;5;...;-;-;-;-;-;-;-;-;-;-;-;280;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;600;-;-;-;-;-;-;-;-;-;55;5;-;-;-;-;-
Tiros (MG);5;9;-;...;-;-;60;-;-;-;-;-;-;30;-;...;-;2120;2120;-;...;6;...;-;-;10;-;-;-;-;-;-;-;-;3000;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;5;-;-;-;2400;-;-;-;-;-;-;-;1100;-;-;-;-;-;-;-;-
Tocantins (MG);4;-;-;...;-;-;-;-;-;-;-;80;1;-;-;...;-;-;-;-;...;35;...;-;-;-;-;-;-;3;-;-;-;-;90;-;35;-;25;-;-;50;33;-;-;-;13;-;60;80;40;-;-;-;150;-;-;-;-;-;-;-;-;-;650;30;-;-;-;-;-
Tocos do Moji (MG);16;-;-;...;-;-;-;-;-;-;-;1;-;20;-;...;-;358;358;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-
Toledo (MG);-;-;-;...;-;-;7;-;-;-;-;-;-;120;-;...;-;-;-;-;...;15;...;-;-;-;-;-;-;-;-;-;4;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;450;-;-;-;-;-;-;-;60;-;-;2;-;-;-;-;-
Tombos (MG);-;-;-;...;-;-;-;-;5;-;-;14;-;-;-;...;-;1260;1225;35;...;90;...;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Três Corações (MG);180;-;-;...;-;-;-;-;-;200;-;-;-;340;-;...;-;8600;8600;-;...;-;...;34;-;-;-;-;-;-;-;-;-;-;1200;-;-;-;-;-;-;210;4;-;-;-;-;-;40;65;-;-;-;-;13000;-;-;-;-;-;-;-;11000;-;150;5;9500;-;-;-;13
Três Marias (MG);-;2;-;...;-;-;-;-;-;-;-;8;-;-;-;...;-;-;-;-;...;70;...;-;-;-;-;-;-;-;-;-;-;-;450;-;-;-;-;-;-;2;1;-;-;-;-;-;50;5;8;-;-;-;1320;-;-;-;-;-;-;-;930;-;-;1;-;-;-;-;-
Três Pontas (MG);-;-;-;...;-;-;-;-;-;-;-;20;-;-;-;...;-;16870;16870;-;...;5;...;-;-;-;-;-;-;-;-;-;-;-;420;-;-;-;-;-;-;3;-;-;-;-;-;-;4;-;-;-;-;-;2200;-;-;8;-;-;-;-;2800;-;28;1;700;-;-;-;5
Tumiritinga (MG);-;-;-;...;-;-;-;-;-;-;-;12;-;-;-;...;-;-;-;-;...;30;...;-;-;-;-;-;-;7;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;200;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-
Tupaciguara (MG);-;20;-;...;-;-;-;-;-;-;-;21;-;-;75;...;-;187;187;-;...;14110;...;-;-;-;-;-;-;2;-;-;-;-;-;-;-;627;-;-;-;-;-;-;-;-;-;-;13;-;2;-;6;-;3400;-;2;-;-;-;-;-;36000;3500;-;-;-;-;-;-;-
Turmalina (MG);-;11;-;...;-;-;2;12;2;-;-;20;-;-;-;...;-;722;722;-;...;178;...;-;-;-;-;-;-;2;-;-;-;-;125;-;-;-;-;-;-;12;-;-;-;-;-;-;50;-;2;-;12;-;200;-;-;-;-;-;-;-;-;-;1;18;-;-;-;1;8
Turvolândia (MG);20;-;-;...;-;-;-;-;-;-;-;-;-;15;-;...;-;1530;1530;-;...;40;...;360;-;-;-;-;-;-;-;-;-;-;210;-;-;-;12;-;-;7;7;-;13;-;-;-;790;-;15;-;-;-;920;-;-;-;10;-;-;-;800;-;25;217;-;-;-;-;-
Ubá (MG);-;-;-;...;-;-;-;-;-;-;-;31;-;-;-;...;-;5;-;5;...;21;...;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;5;-;-;1;5;-;-;-;-;-;30;25;3;-;-;-;20;-;-;-;-;-;-;-;-;-;45;5;-;-;-;-;-
Ubaí (MG);-;-;-;...;-;-;-;2;-;-;-;-;-;-;-;...;-;-;-;-;...;350;...;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;2;-;-;-;-;-;-;290;-;-;-;10;-;700;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-
Ubaporanga (MG);20;-;-;...;-;-;-;6;3;-;-;70;8;-;-;...;-;3020;3020;-;...;10;...;-;-;-;-;-;-;2;-;-;-;-;35;-;-;-;-;-;-;18;14;-;-;-;-;-;17;2;30;-;-;-;150;-;-;-;-;-;-;-;-;-;12;40;-;-;-;-;-
Uberaba (MG);210;2;-;...;-;-;60;-;-;-;-;25;10;800;200;...;-;430;430;-;...;107000;...;-;-;150;-;-;-;5;-;-;-;-;650;-;-;-;2;-;-;600;35;-;-;-;3;-;340;3;2;-;2;-;50000;-;11;-;-;-;-;-;85000;26000;25;5;5500;-;-;-;-
Uberlândia (MG);25;2;-;...;-;-;30;-;-;380;-;1150;4;150;91;...;-;540;540;-;...;8730;...;-;-;30;-;-;-;-;-;-;-;-;-;-;-;340;4;-;-;3600;30;-;-;-;7;-;330;30;20;-;8;-;21660;-;33;-;-;-;-;-;58000;8000;8;30;500;-;-;-;-
Umburatiba (MG);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;3;...;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Unaí (MG);-;-;-;...;-;3000;-;-;-;-;-;76;-;3;40;...;-;3735;3735;-;...;20300;...;-;-;1;-;-;-;-;-;-;-;-;24000;-;-;-;-;-;-;15;3;-;-;-;-;-;120;-;12;-;4;-;35000;-;-;-;-;-;-;-;180000;5000;-;8;-;-;-;-;-
União de Minas (MG);-;-;-;...;-;-;-;150;-;-;-;40;-;-;805;...;-;-;-;-;...;9980;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;800;-;-;-;-;-;-;-;300;100;-;-;-;-;-;-;-
Uruana de Minas (MG);-;5;-;...;-;900;-;-;-;-;-;10;-;-;-;...;-;-;-;-;...;100;...;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;1;-;1700;-;-;-;-;-;-;-;3600;-;-;-;-;-;-;-;-
Urucânia (MG);-;-;-;...;-;-;-;-;-;-;-;32;-;-;-;...;-;4;4;-;...;3720;...;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;25;-;-;-;-;-;-;-;-;-;8;-;2;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Urucuia (MG);-;-;-;...;-;-;-;-;-;-;-;4;10;-;-;...;-;553;553;-;...;115;...;-;-;-;-;-;-;-;-;-;-;-;1100;-;-;-;-;-;-;-;-;-;-;-;-;-;450;-;10;-;10;-;1750;-;-;-;-;-;-;-;1200;-;-;-;-;-;-;-;-
Vargem Alegre (MG);-;-;-;...;-;-;-;-;20;-;-;2;1;-;-;...;-;55;55;-;...;8;...;-;-;-;-;-;-;1;-;-;-;-;10;-;-;-;-;-;-;-;1;-;-;-;2;-;3;1;1;-;1;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vargem Bonita (MG);-;-;-;...;-;-;-;-;-;-;-;-;-;-;38;...;-;2300;2300;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;205;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;650;-;-;-;-;-;-;-;600;-;-;-;-;-;-;-;-
Vargem Grande do Rio Pardo (MG);-;1;-;...;-;-;-;-;15;-;-;3;-;-;-;...;-;90;90;-;...;85;...;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;80;105;-;-;3;-;300;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
Varginha (MG);5;-;-;...;-;-;-;-;-;-;-;9;-;-;-;...;-;7475;7475;-;...;10;...;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;5;-;-;-;-;-;-;6;-;2;-;-;-;500;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;2
Varjão de Minas (MG);-;6;-;...;-;480;-;-;-;-;-;58;-;-;-;...;-;2237;2237;-;...;52;...;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;35;1;5;-;15;-;4350;-;-;-;-;-;-;-;3000;570;2;467;128;-;-;-;-
Várzea da Palma (MG);15;-;-;...;-;-;-;-;-;-;-;331;-;-;-;...;-;600;600;-;...;120;...;-;-;-;-;-;-;195;-;-;-;-;470;-;13;-;-;-;-;300;3;-;-;-;55;-;105;2;9;-;30;-;3400;-;-;-;-;-;-;-;1200;150;194;1;-;-;-;-;50
Varzelândia (MG);-;-;-;...;-;-;-;-;-;-;-;4;1;-;-;...;-;-;-;-;...;75;...;-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;-;-;-;-;-;-;-;-;110;6;-;-;-;-;1000;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-
Vazante (MG);-;3;-;...;-;680;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;2;...;-;-;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;5500;-;-;-;-;-;-;-;12500;-;-;-;-;-;-;-;-
Verdelândia (MG);-;-;-;...;-;-;-;-;-;-;-;1269;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;6;-;-;-;-;150;-;-;-;3;-;-;-;7;-;-;-;15;-;28;60;-;-;13;-;560;-;-;-;-;-;-;-;70;20;-;-;-;-;-;-;-
Veredinha (MG);-;1;-;...;-;-;-;20;-;-;-;3;-;-;-;...;-;140;140;-;...;100;...;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-;-;7;-;-;-;-;-;-;43;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
Veríssimo (MG);-;5;-;...;-;-;-;-;-;-;-;6;-;-;6;...;-;-;-;-;...;20700;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;5;-;-;-;-;-;30;6;12;-;1;-;900;-;-;-;-;-;-;-;2400;600;-;-;-;-;-;-;-
Vermelho Novo (MG);-;-;-;...;-;-;-;-;-;-;-;11;-;-;-;...;-;2300;2300;-;...;30;...;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;2;-;-;-;300;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-
Vespasiano (MG);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Viçosa (MG);-;-;-;...;-;-;-;-;-;-;-;25;-;-;-;...;-;745;745;-;...;40;...;-;-;-;-;-;-;-;-;-;-;-;410;-;-;-;5;-;-;7;4;-;-;-;-;-;10;-;4;-;-;-;460;-;2;-;-;-;-;-;-;-;2;10;-;-;-;-;-
Vieiras (MG);-;-;-;...;-;-;-;-;-;-;-;37;-;-;-;...;-;600;600;-;...;23;...;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mathias Lobato (MG);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Virgem da Lapa (MG);-;3;-;...;-;-;-;3;-;-;-;3;5;-;-;...;-;-;-;-;...;60;...;-;-;-;-;-;-;-;-;-;-;-;290;-;-;-;-;-;-;-;-;-;-;-;-;-;38;3;-;-;3;-;400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Virgínia (MG);19;-;-;...;-;-;-;-;4;-;-;10;-;50;-;...;-;60;60;-;...;34;...;14;-;6;-;-;-;-;-;-;-;-;102;40;-;-;16;-;-;16;-;-;4;-;-;-;3;5;-;-;-;-;355;-;-;25;140;-;-;-;-;-;63;23;-;-;-;-;-
Virginópolis (MG);-;-;-;...;-;-;2;-;-;-;-;20;-;1;-;...;-;84;84;-;...;120;...;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-;6;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;230;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-
Virgolândia (MG);-;-;-;...;-;-;-;2;-;-;-;31;-;-;-;...;-;36;20;16;...;45;...;-;-;-;-;-;-;12;-;-;-;-;160;-;-;-;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Visconde do Rio Branco (MG);-;-;-;...;-;-;-;1;-;-;-;30;-;-;-;...;-;4;4;-;...;550;...;-;-;-;-;-;-;8;-;-;-;-;50;-;-;-;60;-;-;145;3;-;-;-;-;-;30;145;11;-;-;-;100;-;-;-;-;-;-;-;-;-;10;5;-;-;-;-;-
Volta Grande (MG);-;-;-;...;-;-;-;-;-;-;-;11;-;-;-;...;-;-;-;-;...;3;...;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;5;-;-;-;-;-;-;12;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wenceslau Braz (MG);-;-;-;...;-;-;-;-;-;-;6;-;-;17;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
Afonso Cláudio (ES);16;-;-;...;-;-;20;2;2;-;-;87;-;16;-;...;2;11600;7700;3900;...;15;...;-;-;12;-;-;-;-;-;-;-;-;200;-;-;-;85;-;-;6;5;-;-;-;7;-;12;20;20;-;-;-;340;-;5;-;-;2;-;-;-;-;7;370;-;-;-;-;6
Águia Branca (ES);-;3;-;...;-;-;-;-;2;-;-;65;-;-;28;...;193;6025;35;5990;...;-;...;-;-;-;-;-;-;45;-;-;-;-;20;-;-;-;-;-;-;6;4;-;-;-;-;-;16;37;-;-;8;-;20;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-
Água Doce do Norte (ES);-;-;-;...;-;-;-;-;-;-;-;30;10;-;32;...;10;2255;400;1855;...;20;...;-;-;-;-;-;-;10;-;-;-;-;40;-;-;-;6;-;-;18;-;-;-;-;-;-;50;60;15;-;10;-;10;-;-;-;-;25;-;-;-;-;4;10;-;-;-;-;3
Alegre (ES);-;-;-;...;-;-;-;-;-;-;-;119;-;-;-;...;-;5225;3210;2015;...;30;...;-;-;-;-;-;-;8;-;-;-;-;450;-;-;-;6;-;-;17;2;-;-;-;-;-;10;11;3;-;-;-;300;-;15;-;-;-;-;-;-;-;3;-;-;-;-;-;-
Alfredo Chaves (ES);-;-;18;...;-;-;-;-;-;-;-;3200;-;6;18;...;35;4433;2382;2051;...;40;...;7;-;-;-;-;-;5;-;-;-;-;190;-;-;-;2;-;-;60;10;-;-;-;-;-;50;-;10;-;-;-;400;-;130;-;1;-;-;-;-;-;60;200;-;-;-;-;17
Alto Rio Novo (ES);-;-;-;...;-;-;-;-;6;-;-;10;-;-;-;...;-;2913;1612;1301;...;30;...;-;-;-;-;-;-;5;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;-;6;30;-;-;-;-;2;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-
Anchieta (ES);3;-;15;...;-;-;-;-;-;-;-;800;-;-;405;...;50;1050;-;1050;...;10;...;-;-;-;-;-;-;30;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;70;1;12;-;-;-;-;-;43;-;-;6;-;-;-;-;-;-;-;-;-;-;2
Apiacá (ES);-;-;-;...;-;-;-;-;-;-;-;45;-;-;71;...;-;1573;1335;238;...;-;...;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;15;-;-;-;-;-;-;12;3;-;-;-;-;32;-;30;-;-;-;-;-;-;-;-;4;-;-;-;-;-
Aracruz (ES);-;-;-;...;-;-;-;-;-;-;-;130;-;-;601;...;100;5391;-;5391;...;150;...;-;-;-;-;-;-;118;-;-;-;-;42;-;-;-;5;-;-;50;-;-;-;-;300;-;210;5;20;-;-;-;112;-;-;-;-;155;-;-;-;-;-;40;-;-;-;-;3
Atílio Vivácqua (ES);-;-;-;...;-;-;-;-;-;-;-;190;-;-;46;...;-;1330;-;1330;...;-;...;-;-;-;-;-;-;3;-;-;-;-;10;-;-;-;-;-;-;10;2;-;-;-;-;-;20;1;-;-;-;-;3;-;3;-;-;-;-;-;-;-;3;3;-;-;-;-;-
Baixo Guandu (ES);-;-;-;...;-;-;-;-;4;-;-;400;-;-;-;...;12;3510;1490;2020;...;-;...;-;-;-;-;-;-;11;-;-;-;-;40;-;-;-;4;-;-;2;-;-;-;-;10;-;37;34;-;-;-;-;40;-;5;-;-;7;-;-;-;-;-;10;-;-;-;-;-
Barra de São Francisco (ES);-;-;-;...;-;-;-;-;8;-;-;613;-;-;5;...;15;5005;25;4980;...;10;...;-;-;-;-;-;-;127;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;40;40;-;-;8;-;150;-;2;-;-;95;-;-;-;-;-;-;-;-;-;-;11
Boa Esperança (ES);-;1;-;...;-;-;-;-;-;-;-;15;-;-;440;...;36;4700;-;4700;...;416;...;-;-;-;-;-;-;240;-;-;-;-;17;-;-;-;3;-;-;2;-;-;-;-;300;-;35;16;20;-;5;-;5;-;-;-;-;700;-;-;-;-;-;1;-;-;-;-;-
Bom Jesus do Norte (ES);-;-;-;...;-;-;-;-;-;-;-;15;-;-;-;...;-;185;120;65;...;-;...;-;-;-;-;-;-;2;-;-;-;-;12;-;-;-;-;-;-;7;-;-;-;-;-;-;10;1;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brejetuba (ES);20;-;-;...;-;-;-;-;-;-;-;30;-;-;-;...;-;10000;10000;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;-;10;-;-;-;-;-;-;-;3;60;-;-;-;-;-
Cachoeiro de Itapemirim (ES);-;-;-;...;-;-;-;-;-;-;-;250;-;-;32;...;15;5150;250;4900;...;300;...;-;-;-;-;-;-;40;-;-;-;-;160;-;-;-;20;-;-;20;10;-;-;-;-;-;120;20;-;-;-;-;60;-;20;-;-;3;-;-;-;-;15;35;-;-;-;-;-
Cariacica (ES);2;3;-;...;-;-;-;-;-;-;-;900;-;-;3;...;4;323;30;293;...;35;...;-;-;-;-;-;-;13;-;-;-;-;12;-;-;-;1;-;-;15;5;-;-;-;1;-;200;5;-;-;-;-;15;-;20;-;-;-;-;-;-;-;15;1;-;-;-;10;1
Castelo (ES);30;-;-;...;-;-;-;-;-;-;-;258;-;8;-;...;-;11227;3790;7437;...;99;...;-;-;-;-;-;-;-;-;-;-;-;160;-;-;-;2;-;-;11;-;-;-;-;-;-;40;2;-;-;-;-;300;-;100;-;-;-;-;-;-;-;15;110;-;-;-;-;5
Colatina (ES);-;6;5;...;-;-;-;-;8;-;-;785;6;-;8;...;680;10000;200;9800;...;20;...;-;-;-;-;-;-;220;-;-;-;-;170;-;-;-;20;-;-;32;15;-;-;-;-;-;100;130;6;-;55;-;180;-;6;-;-;30;-;-;-;-;-;10;-;-;-;-;5
Conceição da Barra (ES);-;5;-;...;-;-;-;-;-;-;-;98;-;-;87;...;80;985;-;985;...;9477;...;-;-;-;-;-;-;420;-;-;-;-;15;-;-;-;-;-;-;-;8;-;-;-;30;-;440;-;25;-;6;-;15;-;-;-;-;900;-;-;-;-;-;-;-;-;-;-;-
Conceição do Castelo (ES);15;-;-;...;-;-;-;-;-;-;-;150;-;-;-;...;-;4057;2433;1624;...;3;...;-;-;-;-;-;-;-;-;-;-;-;145;-;-;-;-;-;-;10;8;-;-;-;-;-;7;-;-;-;-;-;55;-;8;-;-;-;-;-;-;-;128;60;-;-;-;-;-
Divino de São Lourenço (ES);6;-;-;...;-;-;-;-;-;-;-;3;-;-;-;...;-;1900;1900;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Domingos Martins (ES);50;-;-;...;-;-;14;-;-;-;-;1300;15;61;-;...;-;6046;5976;70;...;40;...;1;-;5;-;-;-;5;-;-;-;-;470;-;-;-;8;-;-;82;11;-;-;-;1;-;220;2;14;-;-;-;280;-;65;-;10;-;-;-;-;-;510;250;-;-;-;10;14
Dores do Rio Preto (ES);-;-;-;...;-;-;-;-;-;-;-;13;-;-;-;...;-;3200;3200;-;...;15;...;-;-;-;-;-;-;-;-;-;-;-;655;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;945;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ecoporanga (ES);-;-;-;...;-;-;-;-;-;-;-;45;1;-;12;...;16;1715;160;1555;...;50;...;-;-;-;-;-;-;25;-;-;-;-;7;-;-;-;6;-;-;8;-;-;-;-;-;-;30;9;6;-;-;-;10;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;1
Fundão (ES);-;-;-;...;-;-;-;-;-;-;-;77;-;-;78;...;34;2482;-;2482;...;23;...;-;-;-;-;-;-;10;-;-;-;-;32;-;-;-;1;-;-;35;5;-;-;-;-;-;74;-;1;-;-;-;-;-;16;-;-;16;-;-;-;-;22;-;-;-;-;-;-
Governador Lindenberg (ES);-;-;-;...;-;-;-;-;-;-;-;120;-;-;-;...;158;9200;-;9200;...;-;...;-;-;-;-;-;-;90;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;10;5;-;-;-;-;50;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;4
Guaçuí (ES);-;-;-;...;-;-;-;-;-;-;-;68;-;-;-;...;-;6100;6100;-;...;10;...;-;-;-;-;-;-;-;-;-;-;-;304;-;-;-;-;-;-;33;3;-;-;-;-;-;50;-;-;-;-;-;1450;-;-;-;-;-;-;-;-;-;3;30;-;-;-;-;-
Guarapari (ES);-;-;-;...;-;-;-;-;-;-;-;2185;-;-;1110;...;145;2050;650;1400;...;100;...;-;-;-;-;-;-;35;-;-;-;-;25;-;-;-;3;-;-;25;15;-;-;-;-;-;103;5;8;-;-;-;20;-;125;-;-;10;-;-;-;-;52;-;-;-;-;-;-
Ibatiba (ES);1;-;-;...;-;-;-;-;-;-;-;21;-;-;-;...;-;7500;7500;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;620;-;-;-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;2
Ibiraçu (ES);-;-;-;...;-;-;-;-;-;-;-;116;-;-;40;...;50;1563;3;1560;...;255;...;-;-;-;-;-;-;37;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;25;-;52;-;-;9;-;-;-;-;-;-;-;-;-;-;-
